ID,Latitude,Longitude,Primary Type
11094370,42.012293397,-87.699714109,DECEPTIVE PRACTICE
11118031,41.918711651,-87.76551063,CRIMINAL DAMAGE
11134189,41.814669784,-87.690726696,OTHER OFFENSE
11156462,41.938581442,-87.765830579,DECEPTIVE PRACTICE
11164874,41.895805099,-87.683159355,CRIM SEXUAL ASSAULT
10974196,41.78742694,-87.62175872700001,WEAPONS VIOLATION
10995008,41.707062135,-87.631482564,ROBBERY
11086755,41.844510467,-87.705519454,THEFT
11162428,41.843778126,-87.69463767799999,OTHER OFFENSE
11175304,41.894475919,-87.70216915799999,ROBBERY
11175934,41.895101237,-87.68437856799999,ROBBERY
10929491,41.852796034,-87.696662196,BATTERY
11071841,41.905025355,-87.709305775,BATTERY
11092775,41.712720927,-87.681813981,DECEPTIVE PRACTICE
23128,41.882904225,-87.769852575,HOMICIDE
10856922,41.75033427,-87.665045312,CRIMINAL TRESPASS
11043709,41.867131594,-87.720802297,ROBBERY
11126911,41.915957492,-87.676668385,BATTERY
11143767,41.897467171,-87.769136879,BURGLARY
11145578,41.863330777,-87.727523713,BATTERY
11146097,41.791975485,-87.64631068,BATTERY
11151046,41.863330777,-87.727523713,BATTERY
11164834,41.863330777,-87.727523713,CRIMINAL DAMAGE
11170225,41.727175279,-87.604594406,ROBBERY
11172432,41.954793921,-87.70315153899999,BURGLARY
11143821,41.882394061999996,-87.627844798,THEFT
11162829,41.967264235,-87.70476791700001,BATTERY
11175208,41.729028352,-87.58674337,ROBBERY
10810661,41.962301425,-87.67899814399999,OTHER OFFENSE
10811218,41.90907278,-87.693292877,BATTERY
10811359,41.865412869000004,-87.722709399,NARCOTICS
10811360,41.858936106,-87.718534819,ROBBERY
10811378,41.735120189,-87.6423738,NARCOTICS
10811390,41.727011968,-87.57303647799999,ROBBERY
10811397,41.821690235,-87.690832606,NARCOTICS
10811413,41.908849952,-87.646645976,THEFT
10811414,41.875130749,-87.736371509,BATTERY
10811424,41.657321469,-87.60638511200001,ASSAULT
10811432,41.799562177,-87.587582914,THEFT
10811530,41.881917848,-87.736480932,NARCOTICS
10811581,41.868300588000004,-87.699052669,NARCOTICS
10811608,41.883784731,-87.735578531,CRIMINAL DAMAGE
10811613,41.886300546,-87.75528349,INTERFERENCE WITH PUBLIC OFFICER
10811635,41.948279589,-87.64951666700001,BATTERY
10811647,41.903561568,-87.72754763100001,NARCOTICS
10811664,41.883500186999996,-87.627876698,THEFT
10811678,41.897734345,-87.746875495,BATTERY
10811752,41.782521904,-87.708900071,BURGLARY
10811757,41.740957045,-87.65105022700001,OFFENSE INVOLVING CHILDREN
10811758,41.738233797,-87.562381157,OTHER OFFENSE
10811759,41.909512571,-87.75498227700001,NARCOTICS
10811779,41.876587174,-87.628727499,BATTERY
10811794,41.750472394,-87.634297122,CRIMINAL TRESPASS
10811796,41.768022593000005,-87.572174872,WEAPONS VIOLATION
10811803,41.874947338000005,-87.72547164,THEFT
10811818,41.692182999,-87.62309501700001,CRIMINAL TRESPASS
10811826,41.829568547,-87.628069217,BATTERY
10811836,41.77268594,-87.605758495,CRIMINAL TRESPASS
10811837,41.793518975,-87.677024858,NARCOTICS
10811838,41.894993403,-87.622148996,CRIMINAL TRESPASS
10811869,41.905317761999996,-87.730131896,BATTERY
10811876,41.804360421,-87.586085846,WEAPONS VIOLATION
10811878,41.754592961,-87.74152853700001,CRIMINAL TRESPASS
10811889,41.856790413,-87.70842407100001,NARCOTICS
10811905,41.677830551999996,-87.62050376200001,INTERFERENCE WITH PUBLIC OFFICER
10811909,41.756127826,-87.615071416,WEAPONS VIOLATION
10811920,41.956836485,-87.734065461,WEAPONS VIOLATION
10811924,41.982804569,-87.80139044299999,BATTERY
10811926,41.873699424,-87.704705156,SEX OFFENSE
10811937,41.772798312,-87.682108198,BATTERY
10811938,41.722140855,-87.63216467,WEAPONS VIOLATION
10811949,41.788735926,-87.718744,BATTERY
10811956,41.76680404,-87.60561968299999,CRIMINAL TRESPASS
10811960,41.745394001,-87.600163368,BATTERY
10811961,41.754683888,-87.58448538299999,BATTERY
10811962,41.965876821,-87.72796146799999,OTHER OFFENSE
10811966,41.750361217,-87.65373214899999,WEAPONS VIOLATION
10811975,41.829651528,-87.614451899,BATTERY
10812002,41.930893918,-87.794688763,CRIMINAL TRESPASS
10812006,41.865751300999996,-87.708083498,BATTERY
10812026,41.938568747,-87.767150178,ASSAULT
10812042,41.87082496,-87.69601703200001,CRIMINAL TRESPASS
10812052,41.910445227,-87.73246059600001,BATTERY
10812141,41.860013097,-87.72133644700001,BATTERY
10812225,41.917422383,-87.704518739,BATTERY
10812259,41.685312326,-87.623723394,OTHER OFFENSE
10812308,41.909804314,-87.651606387,ROBBERY
10812335,41.808599694,-87.66527639,NARCOTICS
10812397,41.869145417,-87.744856892,NARCOTICS
10812412,41.964667917,-87.72147574600001,BATTERY
10812416,41.850567629000004,-87.73230190000001,OTHER OFFENSE
10812452,41.876607964,-87.62764406299999,BATTERY
10812462,41.878222138000005,-87.62728848200001,CRIMINAL TRESPASS
10812465,41.872634118,-87.716754989,NARCOTICS
10812468,41.920936691,-87.687519376,ASSAULT
10812487,41.872177295,-87.718051797,NARCOTICS
10812489,41.89427269,-87.71627879,WEAPONS VIOLATION
10812501,41.809687513,-87.674970791,BATTERY
10812508,41.754168689000004,-87.60163575600001,BATTERY
10812511,41.862897748,-87.711202374,NARCOTICS
10812524,41.885369466,-87.63243193,ASSAULT
10812552,41.677938724,-87.630492264,OTHER OFFENSE
10812556,41.961887684000004,-87.922964929,THEFT
10812586,41.866184544,-87.724361483,WEAPONS VIOLATION
10812591,41.750475660999996,-87.60521778399999,OTHER OFFENSE
10812607,41.882736633,-87.630903677,OTHER OFFENSE
10812644,41.75033427,-87.665045312,CRIMINAL TRESPASS
10812654,41.742481393,-87.649876191,NARCOTICS
10812655,41.883500186999996,-87.627876698,THEFT
10812661,41.743503863,-87.60501807,BATTERY
10812680,41.803412024000004,-87.603764184,ROBBERY
10812696,41.980777857,-87.667021437,BATTERY
10812709,41.753585679000004,-87.563238289,PUBLIC PEACE VIOLATION
10812711,41.913039131,-87.76491796299999,BATTERY
10812712,41.867662948,-87.698379766,NARCOTICS
10812717,41.894848726999996,-87.76570735799999,WEAPONS VIOLATION
10812730,41.874363279,-87.643013039,CRIMINAL TRESPASS
10812739,41.892915142,-87.725183775,WEAPONS VIOLATION
10812744,41.869527301,-87.63926875899999,THEFT
10812748,41.96017419,-87.74750190600001,NARCOTICS
10812766,41.795190552,-87.58800765299999,THEFT
10812785,41.873448732,-87.69854280700001,NARCOTICS
10812787,41.696367136,-87.614114644,NARCOTICS
10812794,41.874663948,-87.735263302,NARCOTICS
10812816,41.917483848,-87.69773917,NARCOTICS
10812829,41.721859836,-87.615980653,BATTERY
10812831,41.690020449,-87.612076461,OTHER OFFENSE
10812836,41.910764867,-87.658120918,THEFT
10812841,41.751636442,-87.641628664,BATTERY
10812843,41.785848109,-87.607582382,ASSAULT
10812852,41.974326973000004,-87.65635774,CRIMINAL DAMAGE
10812856,41.779244532,-87.684510424,CRIMINAL TRESPASS
10812858,41.771393186,-87.67248846700001,NARCOTICS
10812860,41.877585867,-87.683123746,PUBLIC PEACE VIOLATION
10812882,41.895896023,-87.677913394,THEFT
10812894,41.735066839,-87.650896405,BATTERY
10812906,41.894391296,-87.71384250700001,BATTERY
10812909,41.684809877,-87.642147208,BATTERY
10812913,41.873907046,-87.72543009299999,CRIMINAL TRESPASS
10812914,41.874189741,-87.73853925899999,NARCOTICS
10812918,41.767852098,-87.588874031,WEAPONS VIOLATION
10812919,41.873841526,-87.763495624,NARCOTICS
10812920,41.873841216,-87.763433207,WEAPONS VIOLATION
10812928,41.875412863,-87.71398542799999,NARCOTICS
10812936,41.868165405,-87.62743954,BATTERY
10812951,41.691751579,-87.68522565200001,ASSAULT
10812978,41.866552752,-87.62581253299999,THEFT
10812979,41.809687513,-87.674970791,THEFT
10812995,41.892816145,-87.62419319799999,THEFT
10813025,41.902986209,-87.690370865,BATTERY
10813026,41.867752226,-87.697156311,WEAPONS VIOLATION
10813032,41.916930759,-87.746431558,BATTERY
10813041,41.883500186999996,-87.627876698,THEFT
10813052,41.968815819,-87.674618145,THEFT
10813054,41.751833633000004,-87.558572004,BATTERY
10813065,41.886337253,-87.620687893,DECEPTIVE PRACTICE
10813072,41.77279778,-87.683468276,CRIMINAL TRESPASS
10813074,41.75740583,-87.64177196,WEAPONS VIOLATION
10813092,41.76573639,-87.66381882,NARCOTICS
10813111,42.015517282,-87.679074821,BATTERY
10813124,41.783953435,-87.61176166700001,DECEPTIVE PRACTICE
10813125,41.793819823,-87.65325858700001,OTHER OFFENSE
10813127,41.887216076,-87.755620452,INTERFERENCE WITH PUBLIC OFFICER
10813129,41.767947192,-87.662688796,NARCOTICS
10813131,41.865615993,-87.72271848,NARCOTICS
10813133,41.750472394,-87.634297122,CRIMINAL TRESPASS
10813138,41.878860042,-87.726396631,NARCOTICS
10813146,41.922632547,-87.728315299,WEAPONS VIOLATION
10813149,41.886893484,-87.73443311700001,NARCOTICS
10813159,41.874153389,-87.735238688,BATTERY
10813160,41.877103804,-87.72433861200001,OTHER OFFENSE
10813175,41.794705624,-87.62189458700001,BATTERY
10813177,41.695908161,-87.595822806,THEFT
10813180,41.802599337,-87.674544554,NARCOTICS
10813185,41.779200199,-87.68201043399999,CRIMINAL TRESPASS
10813187,42.015517282,-87.679074821,CRIMINAL TRESPASS
10813190,41.813803156999995,-87.70471526200001,NARCOTICS
10813191,41.737013792,-87.69061108700001,BATTERY
10813193,41.764104971,-87.665008731,NARCOTICS
10813203,41.88171846,-87.62776042600001,THEFT
10813212,41.653671888000005,-87.609492555,INTERFERENCE WITH PUBLIC OFFICER
10813216,41.684779669,-87.64214387,CRIMINAL TRESPASS
10813217,41.762406987,-87.663721479,OTHER OFFENSE
10813223,41.6474468,-87.617234833,ASSAULT
10813228,41.881893071,-87.73858166,ASSAULT
10813234,41.871489164,-87.627516791,BATTERY
10813235,41.82336297,-87.689135551,BATTERY
10813244,41.751130976,-87.70608570600001,MOTOR VEHICLE THEFT
10813246,41.909664252,-87.742728815,THEFT
10813247,41.909664252,-87.742728815,THEFT
10813257,41.744654208,-87.710084277,NARCOTICS
10813260,41.92898953,-87.75140709700001,BATTERY
10813266,41.878221581999995,-87.749337912,BATTERY
10813267,41.951058036999996,-87.64377054299999,THEFT
10813269,41.869232768,-87.68610886299999,CRIMINAL DAMAGE
10813272,41.828757844,-87.680323191,NARCOTICS
10813273,41.882240048,-87.76538197299999,NARCOTICS
