STORE NAME,Latitude,Longitude
200 LIQUORS,41.8094238941,-87.62095180200001
4343 PETES FRESH MARKET,41.8139143113,-87.72366494190001
4700 PETE'S FRESH MARKET,41.8080472717,-87.70411882229999
ADAMS FOOD MART,41.8910335471,-87.7553096457
ALDI #28,41.8034457131,-87.7039862718
ALDI #30,41.8381141517,-87.7049944648
ALDI FOODS #91,41.8806594115,-87.72219366889999
ALDI FOODS -STORE #04,41.8956153135,-87.7067053251
ALDI INC #10,41.8114515422,-87.72357465440001
ALDI INC #53,41.796380489499995,-87.75734757219999
ALDI INC STORE #62,41.8521511995,-87.67007460190001
ALDI INC STORE 14,41.8673156479,-87.76559794299999
ALDI'S #47,41.8087413884,-87.6629116285
ALL STAR FOOD & LIQUOR,41.841484039099996,-87.6580219776
ALMUFLIHI FOOD & LIQUOR,41.7958707987,-87.6453441182
ARISTA FOODS,41.8834021216,-87.65572529309999
ATHENS GROCERY,41.8771621281,-87.6473642897
B & H FOOD & GROCERY,41.872350043000004,-87.7032726418
BARI,41.8912101212,-87.6555602414
BOB'S LIQUORS & GROCERIES,41.8802960895,-87.7524941982
BOCKWINKELS,41.886339416,-87.62083615
BURNHAM PLAZA MART,41.871444196300004,-87.62607513030001
CARNICERIA DEL RIO,41.8520347381,-87.6936969081
CARNICERIA LA GLORIA,41.8009692763,-87.68872209870001
"CARNICERIA LA GLORIA NO. 2, INC.",41.7938118263,-87.6931506024
CENTRO MARKET,41.799257043699996,-87.7035747066
CERMAK PRODUCE,41.8521678636,-87.66897504069999
CERMAK PRODUCE,41.844366728699995,-87.7078980538
CERMAK PRODUCE,41.79799187,-87.7234437408
CERMAK PRODUCE #5 LTD,41.8313499001,-87.67584784790002
CITY GROCERY,41.8894653288,-87.6265092736
CRESPO'S FOOD MART,41.880504995,-87.7351228503
CUPBOARD FOOD & LIQUOR,41.793589179499996,-87.7059457835
D & A FOOD & LIQUOR,41.793554363,-87.6646375512
DILILAH GROCERY,41.8539678804,-87.6708701882
DOMINICK'S # 1100,41.8364683477,-87.6655669021
DOMINICK'S #147/1147,41.8645211937,-87.6393040996
Dominick's #1703,41.8916898398,-87.6204441348
DOMINICK'S #1875,41.8818156316,-87.64721471700001
DOMINICK'S FINER FOODS - STORE # 2775,41.8957852296,-87.6779308926
E.M. GROCERIES,41.7961289732,-87.6514349028
EL MILAGRO,41.844687327399996,-87.702102936
EUROPA GALLERIA INC,41.8956627719,-87.637220715
FAIRPLAY FINER FOOD,41.8519838396,-87.6857857042
FAIRPLAY FINER FOODS INC,41.809629768,-87.6457075651
FOOD 4 LESS MIDWEST #789,41.809668528,-87.6751156964
FRUTERIA EL MERCADO,41.8409331636,-87.7072241769
