STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
200 LIQUORS,48663,17055,5000,B,204 E 47TH ST,60653,GRAND BOULEVARD,38,3,17031381500,170313815001007,1178461.6344048942,1873949.3843109086,41.8094238941,-87.620951802,"(41.8094238941, -87.6209518020)"
4343 PETES FRESH MARKET,1336669,260303,57000,A,4343 S PULASKI RD,60632,ARCHER HEIGHTS,57,14,17031570100,170315701001015,1150447.9257608664,1875370.2855434741,41.8139143113,-87.7236649419,"(41.8139143113, -87.7236649419)"
4700 PETE'S FRESH MARKET,1243125,245519,45000,A,4700 S KEDZIE AVE,60632,BRIGHTON PARK,58,14,17031842800,170318428004023,1155791.9493024794,1873270.7784828772,41.8080472717,-87.7041188223,"(41.8080472717, -87.7041188223)"
ADAMS FOOD MART,1817376,316090,2500,B,559 N LARAMIE AVE,60644,AUSTIN,25,28,17031251600,170312516003011,1141632.2601337098,1903412.6519004565,41.8910335471,-87.7553096457,"(41.8910335471, -87.7553096457)"
ALDI #28,1519765,5273,15154,A,4934 S KEDZIE AVE,60632,BRIGHTON PARK,58,14,17031630300,170316303002000,1155840.3646517831,1871594.2630114884,41.8034457131,-87.7039862718,"(41.8034457131, -87.7039862718)"
ALDI #30,1547427,5273,15154,A,3030 S KEDZIE AVE,60623,SOUTH LAWNDALE,30,12,17031840800,170318408002012,1155473.098211975,1884225.253422961,41.8381141517,-87.7049944648,"(41.8381141517, -87.7049944648)"
ALDI FOODS #91,13994,5273,15565,A,3835 W MADISON ST,60624,WEST GARFIELD PARK,26,28,17031260800,170312608001000,1150675.9209930329,1899694.8096007258,41.8806594115,-87.7221936689,"(41.8806594115, -87.7221936689)"
ALDI FOODS -STORE #04,13988,5273,12500,A,800 N KEDZIE AVE,60651,HUMBOLDT PARK,23,27,17031836600,170318366001013,1154853.9364104243,1905175.1424146097,41.8956153135,-87.7067053251,"(41.8956153135, -87.7067053251)"
ALDI INC #10,14002,5273,15540,A,4501 S PULASKI RD,60632,ARCHER HEIGHTS,57,14,17031570100,170315701001024,1150478.9061905383,1874473.0413310053,41.8114515422,-87.7235746544,"(41.8114515422, -87.7235746544)"
ALDI INC #53,13964,5273,13981,A,5775 S ARCHER AVE,60638,GARFIELD RIDGE,56,23,17031560700,170315607002042,1141308.6934481813,1868917.7316582887,41.7963804895,-87.7573475722,"(41.7963804895, -87.7573475722)"
ALDI INC STORE #62,14006,5273,9495,B,1739 W CERMAK RD,60608,LOWER WEST SIDE,31,25,17031843200,170318432002043,1164949.3459755136,1889411.85236391,41.8521511995,-87.6700746019,"(41.8521511995, -87.6700746019)"
ALDI INC STORE 14,1242812,5273,15000,A,5629 W FILLMORE ST,60644,AUSTIN,25,29,17031831400,170318314002056,1138888.1602307956,1894751.1917158663,41.8673156479,-87.765597943,"(41.8673156479, -87.7655979430)"
ALDI'S #47,1619769,5273,16370,A,1508 W 47TH ST,60609,NEW CITY,61,3,17031842600,170318426002057,1167024.2971637463,1873608.6531364345,41.8087413884,-87.6629116285,"(41.8087413884, -87.6629116285)"
ALL STAR FOOD & LIQUOR,1922124,319069,4200,B,2911 S ARCHER AVE,60608,BRIDGEPORT,60,11,17031600700,170316007001000,1168263.5667718935,1885550.3656843523,41.8414840391,-87.6580219776,"(41.8414840391, -87.6580219776)"
